cities,geocoded,point,lat,lon
"BAYONNE, FRANCE","Bayonne, France","(43.492949, -1.474841, 0.0)",43.492949,-1.474841
"ARLES, FRANCE","Arles, France","(43.676647, 4.6277769, 0.0)",43.676647,4.6277769
"DUNKERQUE, FRANCE","Dunkirk, France","(51.0343684, 2.3767763, 0.0)",51.0343684,2.3767763
"ORANGE, FRANCE","84100 Orange, France","(44.1380989, 4.807511, 0.0)",44.1380989,4.807511
"GUINGAMP, FRANCE","22200 Guingamp, France","(48.561366, -3.148352, 0.0)",48.561366,-3.148352
"SARREBOURG, FRANCE","57400 Sarrebourg, France","(48.732663, 7.052587, 0.0)",48.732663,7.052587
"RETHEL, FRANCE","08300 Rethel, France","(49.5084965, 4.3662756, 0.0)",49.5084965,4.3662756
"ST RAPHAEL VALESCURE, FRANCE","Av. de Valescure, 83700 Saint-Raphaël, France","(43.435261, 6.7760114, 0.0)",43.435261,6.7760114
"LIBOURNE, FRANCE","33500 Libourne, France","(44.91299799999999, -0.243985, 0.0)",44.91299799999999,-0.243985
"MONTDAUPHIN GUILLESTRE, FRANCE","05600 Mont-Dauphin, France","(44.669762, 6.624536, 0.0)",44.669762,6.624536
"AIX EN PROVENCE TGV, FRANCE","Aix-en-Provence TGV, 13290 Aix-en-Provence, France","(43.4551516, 5.3172348, 0.0)",43.4551516,5.3172348
"MONTPELLIER SUD DE FRANCE, FRANCE","Montpellier Sud de France, 1521 Rue de la Font de la Banquière, 34000 Montpellier, France","(43.5951782, 3.924271, 0.0)",43.5951782,3.924271
"RANG DU FLIERS VERTON, FRANCE","Chem. de Verton, 62180 Rang-du-Fliers, France","(50.4103556, 1.6221472, 0.0)",50.4103556,1.6221472
"DIE, FRANCE","26150 Die, France","(44.751036, 5.370536, 0.0)",44.751036,5.370536
"ORTHEZ, FRANCE","64300 Orthez, France","(43.48755999999999, -0.7739279, 0.0)",43.48755999999999,-0.7739279
"COLLIOURE, FRANCE","Collioure, France","(42.52675199999999, 3.084631, 0.0)",42.52675199999999,3.084631
"SAVERDUN, FRANCE","09700 Saverdun, France","(43.233683, 1.575968, 0.0)",43.233683,1.575968
